timestamp,temp_c,cap_pf,cap_sd_pf,permittivity,optical_ratio,index,tpm_equiv,validation,ch410,ch435,ch460,ch485,ch510,ch535,ch560,ch585,ch610,ch645,ch680,ch705,ch730,ch760,ch810,ch860,ch900,ch940
2026-08-07T15:53:23.000Z,26.4,11.7675,0.3732,20.6186,21.1891,0.0000,8.00,reading unstable,9.997,33.729,34.947,16.973,29.232,19.497,16.13,26.026,23.708,2.222,1.267,2.99,25.353,6.25,2.357,1.692,3.414,2.274
2026-08-07T15:54:02.000Z,26.6,7.739,0.012,5.2430,0.4239,1.3500,30.95,optical,33.324,41.438,113.342,22.333,91.443,98.927,87.562,74.891,46.468,10.664,5.069,3.986,126.763,49.997,9.427,6.767,19.633,31.829
2026-08-07T15:54:15.000Z,26.8,7.9495,0.152,6.0467,-1.4835,,,reading unstable,5.832,37.584,54.782,13.4,30.731,36.105,31.108,35.587,38.407,6.665,3.168,2.99,59.924,23.957,6.284,4.23,7.682,15.915
2026-08-07T15:54:28.000Z,27,10.9741,3.8089,17.5913,11.8759,0.0000,8.00,reading unstable,5.832,53.966,56.671,20.546,43.473,59.212,52.422,57.895,30.347,6.22,1.901,2.99,86.429,17.707,7.07,4.23,5.975,3.41
2026-08-07T15:54:53.000Z,27.2,7.8099,0.0127,5.5145,0.9007,0.6517,19.08,optical,34.157,36.62,129.399,19.653,89.195,60.656,51.846,51.521,37.459,6.665,5.069,2.99,97.953,35.415,5.499,4.23,17.925,37.513
2026-08-07T15:55:48.000Z,27.4,7.7084,0.0026,5.1274,0.7630,1.3484,30.92,optical,19.161,18.31,57.616,11.613,41.974,29.606,20.162,23.901,23.708,3.555,3.168,1.993,44.943,18.749,3.142,2.538,9.389,22.735
2026-08-07T15:56:31.000Z,27.8,8.8048,0.0598,9.3127,1.0851,0.0000,8.00,optical,37.489,30.838,101.063,23.226,70.456,42.604,25.347,33.462,34.614,4.443,4.435,2.99,66.839,22.915,3.928,3.384,14.511,28.419
2026-08-07T15:56:52.000Z,28.1,7.6745,0.0008,4.9991,1.6957,0.0000,8.00,optical,4.165,31.802,76.506,8.933,19.488,27.44,10.369,16.997,14.225,2.666,1.267,2.99,25.353,12.499,3.142,2.538,1.707,2.274
2026-08-07T15:57:06.000Z,28.2,7.6769,0.001,5.0084,1.6957,0.0000,8.00,optical,4.165,31.802,76.506,8.933,19.488,27.44,10.369,16.997,14.225,2.666,1.267,2.99,25.353,12.499,3.142,2.538,1.707,2.274
2026-08-07T15:58:02.000Z,28.2,8.6899,0.0187,8.8748,0.9537,0.4118,15.00,optical,30.824,26.019,85.007,21.439,62.211,39.715,25.347,33.462,31.769,4.443,3.801,2.99,64.534,22.915,3.928,2.538,13.657,27.282
2026-08-07T15:59:40.000Z,27.9,8.7603,0.0239,9.1430,0.7110,1.3500,30.95,optical,31.658,34.693,103.897,23.226,83.198,76.542,52.998,57.364,38.882,8.442,4.435,2.99,109.477,41.664,7.07,5.076,17.925,37.513
2026-08-07T16:00:38.000Z,27.9,8.9318,0.005,9.7976,0.9608,0.3808,14.47,optical,43.321,32.765,113.342,25.906,80.95,48.381,28.227,36.118,33.192,5.332,4.435,2.99,77.21,27.082,4.713,3.384,17.072,34.103
2026-08-07T16:01:34.000Z,28.1,8.7086,0.002,8.9460,0.8477,0.9062,23.41,optical,33.324,28.91,98.23,17.866,67.458,42.604,24.771,28.682,27.502,4.888,4.435,2.99,59.924,28.123,3.928,3.384,14.511,34.103
2026-08-07T16:02:35.000Z,28.1,8.7503,0.0057,9.1052,0.8221,1.0353,25.60,optical,39.155,33.729,117.12,25.013,81.699,56.324,41.477,54.177,35.088,7.553,4.435,2.99,86.429,33.331,5.499,4.23,17.925,38.65
2026-08-07T16:11:07.000Z,28.1,8.4743,0.0133,8.0517,1.0092,0.1743,10.96,optical,28.325,26.019,78.395,25.013,65.959,41.882,53.574,73.829,47.891,6.665,3.801,2.99,144.049,27.082,4.713,3.384,13.657,25.009
2026-08-07T16:11:37.000Z,28.4,8.028,0.0013,6.3487,0.8478,0.9059,23.40,optical,9.164,14.455,43.448,18.759,42.723,41.882,48.966,77.016,52.632,6.22,2.534,2.99,108.325,23.957,3.928,3.384,9.389,12.504
2026-08-07T16:14:46.000Z,27.8,8.7474,0.0112,9.0936,1.0950,0.0000,8.00,optical,32.491,34.693,105.786,27.693,83.948,64.267,85.258,107.291,61.167,8.442,5.069,2.99,183.23,34.373,7.07,5.076,19.633,29.556
2026-08-07T16:26:25.000Z,25.7,6.9283,0.1491,2.1474,0.2779,1.3500,30.95,optical,103.304,49.148,87.84,25.906,46.471,32.494,17.858,20.183,17.544,3.555,3.168,1.993,73.753,71.871,5.499,6.767,29.876,138.684
2026-08-07T16:27:37.000Z,25.6,6.9025,0.1403,2.0487,0.2802,1.3500,30.95,optical,103.304,49.148,89.729,25.906,47.221,31.05,18.434,20.715,18.018,3.555,3.168,1.993,70.296,71.871,5.499,6.767,30.729,137.547
2026-08-07T16:28:29.000Z,25.5,7.1915,0.2267,3.1516,0.2608,1.3500,30.95,reading unstable,104.137,48.184,87.84,25.906,46.471,32.494,18.434,20.183,17.07,3.555,3.168,1.993,74.905,71.871,6.284,6.767,29.876,147.778
2026-08-07T16:30:00.000Z,25.4,6.9579,0.1124,2.2599,0.1986,1.3500,30.95,optical,82.476,37.584,80.284,17.866,35.228,25.273,10.945,12.216,12.802,2.666,2.534,1.993,63.382,63.538,4.713,5.922,25.608,126.18
2026-08-07T16:30:12.000Z,25.4,6.8989,0.0126,2.0347,0.2697,1.3500,30.95,optical,83.309,48.184,90.674,26.799,40.475,28.162,19.586,24.433,19.441,3.11,3.168,1.993,64.534,63.538,4.713,5.922,25.608,125.043
2026-08-07T16:31:53.000Z,25.4,7.939,3.6817,6.0046,0.0352,1.3500,30.95,reading unstable,137.461,47.22,94.452,42.879,77.952,39.715,38.02,44.085,108.584,17.328,34.846,6.976,531.252,316.649,43.205,30.454,168.157,603.616
2026-08-07T16:32:06.000Z,25.4,8.1615,0.0241,6.8538,0.0644,1.3500,30.95,optical,118.299,51.075,99.174,66.105,120.675,42.604,16.13,19.652,55.477,11.108,51.952,5.98,538.167,341.648,47.918,35.529,205.715,779.813
2026-08-07T16:35:45.000Z,25.1,7.0094,0.125,2.4560,0.0211,1.3500,30.95,optical,37.489,15.419,41.559,6.253,14.241,10.109,5.761,7.967,9.009,1.333,1.901,1.993,364.156,223.946,32.993,26.224,156.207,685.462
2026-08-07T16:38:11.000Z,24.9,6.9707,0.1179,2.3080,0.0472,1.3500,30.95,optical,114.134,37.584,42.503,7.146,19.488,19.497,2.88,3.187,4.267,0.889,3.168,1.993,231.631,190.614,27.494,22.84,179.254,776.403
2026-08-08T03:31:37.000Z,27.6,8.5379,0.0098,8.2937,1.0809,0.0000,8.00,optical,69.147,53.966,180.403,39.306,125.922,89.54,59.911,64.268,54.055,10.219,7.603,3.986,131.373,45.831,9.427,7.613,25.608,48.88
2026-08-08T03:31:49.000Z,27.8,7.7734,0.0033,5.3761,0.4241,1.3500,30.95,optical,3.332,6.746,17.946,8.04,11.243,12.276,9.217,13.279,9.957,1.777,1.267,1.993,23.048,7.291,2.357,2.538,2.561,3.41
2026-08-08T03:32:03.000Z,27.9,8.49,0.0091,8.1114,1.1486,0.0000,8.00,optical,50.819,41.438,152.067,17.866,78.701,46.214,6.913,11.154,19.915,5.776,5.702,2.99,50.705,21.874,7.07,5.076,16.218,37.513
2026-08-08T03:32:15.000Z,28.1,8.1372,0.0109,6.7651,-0.4241,,,optical,0.833,1.927,8.501,2.68,2.998,5.777,2.88,3.187,3.319,0.889,1.267,1.993,4.61,6.25,0.786,0.846,1.707,3.41
2026-08-08T03:32:35.000Z,28.3,8.3716,0.0085,7.6600,1.3694,0.0000,8.00,optical,68.314,41.438,143.567,24.119,74.953,42.604,6.913,11.685,20.389,6.22,5.702,2.99,57.62,18.749,7.07,5.076,15.365,31.829
2026-08-08T03:32:54.000Z,28.6,8.7574,0.0015,9.1330,1.0019,0.2048,11.48,optical,69.147,54.93,187.014,34.839,132.668,92.429,72.584,71.704,57.848,10.664,8.236,3.986,133.677,52.08,10.212,7.613,27.315,53.427
2026-08-08T03:33:20.000Z,28.8,8.8451,0.1384,9.4680,0.9660,0.3578,14.08,optical,70.813,49.148,176.625,25.013,116.927,79.431,43.205,46.741,46.942,9.775,7.603,3.986,109.477,44.789,10.212,7.613,24.754,52.291
2026-08-08T04:29:34.000Z,28.1,8.2392,0.0199,7.1544,0.6863,1.3500,30.95,optical,74.978,53.966,213.461,29.479,139.413,103.982,61.639,65.331,57.374,11.108,8.236,3.986,119.849,62.497,13.354,10.997,30.729,77.299
2026-08-08T04:32:11.000Z,28.4,8.2681,0.0047,7.2652,0.7872,1.2171,28.69,optical,73.312,55.894,205.905,30.372,140.163,105.426,77.193,77.547,60.219,12.441,8.87,3.986,132.525,60.413,14.14,10.997,30.729,70.479
2026-08-08T04:32:31.000Z,28.6,8.2968,0.0007,7.3750,1.1142,0.0000,8.00,optical,69.147,45.293,159.623,14.293,80.95,47.659,7.489,12.216,21.812,6.22,6.336,2.99,47.248,24.999,8.641,6.767,17.925,43.197
2026-08-08T04:32:47.000Z,28.8,8.2998,0.0007,7.3867,0.8986,0.6616,19.25,optical,69.147,54.93,193.626,29.479,130.419,92.429,68.552,69.049,55.003,10.219,8.236,3.986,118.696,51.039,10.998,8.459,27.315,60.248
2026-08-08T05:22:51.000Z,27.4,8.3586,0.0471,7.6091,0.8280,1.0049,25.08,optical,66.648,41.438,172.847,4.467,84.697,47.659,6.337,10.092,21.812,4.443,5.702,1.993,31.115,29.165,7.07,5.076,17.925,51.154
2026-08-08T05:23:04.000Z,27.6,10.7304,3.4023,16.6620,1.4129,0.0000,8.00,reading unstable,5.832,5.782,20.779,5.36,32.98,3.61,17.858,12.216,41.727,5.332,14.572,1.993,29.962,31.248,2.357,2.538,29.876,4.547
2026-08-08T05:23:16.000Z,27.8,8.4338,0.1303,7.8967,1.2719,0.0000,8.00,optical,2.499,4.818,14.168,12.506,10.493,15.164,17.858,18.059,9.483,2.666,1.901,1.993,28.81,11.458,3.928,3.384,4.268,4.547
2026-08-08T05:24:35.000Z,27.9,8.3219,0.004,7.4698,1.2163,0.0000,8.00,optical,55.817,32.765,98.23,26.799,71.206,36.105,9.217,25.495,26.079,6.665,5.702,2.99,65.686,17.707,6.284,4.23,15.365,28.419
2026-08-08T05:49:01.000Z,27.8,8.2919,0.0606,7.3551,1.3358,0.0000,8.00,optical,59.15,53.966,177.569,26.799,111.681,86.652,58.183,60.55,51.684,8.442,7.603,3.986,104.868,40.623,9.427,6.767,23.047,40.923
2026-08-08T05:49:13.000Z,28,8.0747,0.0087,6.5264,0.8470,0.9100,23.47,optical,0.833,1.927,4.723,2.68,2.998,2.888,2.304,2.125,2.845,1.333,1.267,1.993,3.457,3.125,2.357,1.692,1.707,2.274
2026-08-08T05:54:54.000Z,28.1,8.0484,0.0116,6.4262,1.3776,0.0000,8.00,optical,52.485,53.003,178.514,23.226,112.43,74.376,61.063,64.268,52.632,7.998,7.603,2.99,92.191,39.581,8.641,6.767,23.047,39.786
2026-08-08T05:55:27.000Z,28.4,8.2542,0.0049,7.2121,0.7034,1.3500,30.95,optical,69.98,38.547,174.736,4.467,84.697,50.547,6.913,11.685,22.286,4.443,6.336,1.993,32.267,31.248,7.07,5.922,17.925,55.701
